spec	outcome	pass	fail	error	pending	executed	ctl_pass	ctl_fail	blocker_class	first_blocker	hang_at	oxvimhost_pass	oxvimhost_fail
legacy/083_tag_search_with_file_encoding_spec.lua	no-tests	0	0	0	1	0	1	0				0	1
legacy/090_sha256_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/091_context_variables_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/092_mksession_cursor_cols_utf8_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E36: <n> cells cannot be divided among <n> frame childr		0	1
legacy/093_mksession_cursor_cols_latin1_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E36: <n> cells cannot be divided among <n> frame childr		0	1
legacy/094_visual_mode_operators_spec.lua	zero-pass	0	23	0	0	23	23	0	protocol	API not implemented via nvim_exec2		0	23
legacy/095_regexp_multibyte_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/096_location_list_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/097_glob_path_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/101_hlsearch_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E121: Undefined variable: v:hlsearch		0	1
legacy/102_fnameescape_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E488: Trailing characters: =<x>: try | exe <x> . fnamees		0	1
legacy/103_visual_mode_reset_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/106_errorformat_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: cgetexpr		0	1
legacy/107_adjust_window_and_contents_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/108_backtrace_debug_commands_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E126: Missing :endfunction		0	1
legacy/arglist_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	expected failure, but got success		0	2
